RecordId,Timestamp,SensorName,Level,SensorType,Status,Description
666,2026-04-07 19:31:34,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
665,2026-04-07 19:31:33,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
664,2026-04-07 19:31:33,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
663,2026-04-07 19:31:32,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
662,2026-04-07 19:31:30,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
661,2026-04-07 19:31:16,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
660,2026-04-07 19:30:14,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
659,2026-04-07 19:30:10,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
658,2026-04-07 19:30:09,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
657,2026-04-07 19:30:09,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
656,2026-04-07 19:30:08,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
655,2026-04-07 19:30:06,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
654,2026-04-07 19:30:06,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
653,2026-04-07 19:30:06,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
652,2026-04-07 19:26:50,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
651,2026-04-07 19:26:45,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
650,2026-04-07 19:26:43,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
649,2026-04-07 19:26:43,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
648,2026-04-07 19:26:43,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
647,2026-04-07 19:26:41,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
646,2026-04-07 19:26:41,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
645,2026-04-07 19:26:40,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
644,2026-04-07 19:26:40,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
643,2026-04-07 19:26:40,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
642,2026-04-07 19:26:39,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
641,2026-04-07 19:26:35,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
640,2026-04-07 19:26:23,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
639,2026-04-07 19:25:19,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
638,2026-04-07 19:25:19,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
637,2026-04-07 19:25:19,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
636,2026-04-07 19:25:18,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
635,2026-04-07 19:25:18,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
634,2026-04-07 19:25:18,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
